idx,title,issue,issue_date,expiry_date,strap,summary,body,updated_date,type,sitecode,published,author,commentboard,tid
191539,"Company conscience matters to India's workforce",,"2014-09-15 00:00:00","2114-09-10 00:00:00",/files/image/HRM/HRM%20148/12224870_xxl.jpg,"Strong social conscience key to talent attraction.","<img alt="""" src=""/files/image/HRM/HRM%20148/12224870_xxl.jpg"" style=""width: 225px; height: 150px; margin-left: 5px; margin-right: 5px; float: left;"" />India&rsquo;s future workforce wants to work for meaningful organisations.<br />

<br />

According to the <em>&ldquo;Future of Work: A journey to 2022&rdquo;</em>, report by PwC, nearly 75% of Indian respondents of the PwC survey said they want to be employed with a firm that illustrates social conscience, while only 26% appreciated a position that makes a difference.<br />

<br />

The survey showed that job security is most crucial for 53% of Indian respondents but 58% do not anticipate traditional employment to be present in the future.<br />

<br />

Approximately 42% of respondents claimed they wanted to preferably work for themselves, rather than any elite company while 81% are prepared to completely re-train themselves to remain relevant.<br />

<br />

The survey results revealed the formation of three unique &ldquo;worlds of work&rdquo; -- Blue, Green and Orange.<br />

<br />

The Blue World is where corporate rules and there is persistent pressure to perform. These elite companies recruit only the best and provide long-term job assurance and reward.<br />

<br />

However, only 10% of the total 10,000 viewed this as their ideal employer.<br />

<br />

The Green World represented caring firms that reassess their values and ambitions, possess a powerful social and environmental conscience, and whose values closely link with that of their workers.<br />

<br />

Approximately 53% of global respondents selected this as their preferable employer.<br />

<br />

Lastly, the Orange World eptiomised where small is beautiful and these companies break up into looser networks, linked together by technology, with social media increasing the connectivity.<br />

<br />

About 33% chose this as their ideal organisation.<br />

<br />

&quot;In the Blue World, HR will be at the centre of a hugely influential metric-driven strategy and performance function,&rdquo; said Padmaja Alaganandan, PwC India People and Change practice leader.<br />

<br />

&ldquo;In the Green World, HR&#39;s role could be much more diffuse, helping employees to shape their work around their values and outside lives.&rdquo;<br />

<br />

Alaganandan added that in the Orange World, HR is poised to possess a &ldquo;narrower recruitment and tendering role&quot;.","2014-09-09 00:00:00",581,HRM,1,,1,581
191911,"Organisations not ready to embrace HR evolution",,"2014-09-15 00:00:00","2114-09-15 00:00:00",/files/image/HRM/HRM%20148/5261852_xxl.jpg,"Reskilling the HR function poses the biggest readiness gap in Southeast Asia, says a new study.","<img alt="""" src=""/files/image/HRM/HRM%20148/5261852_xxl.jpg"" style=""width: 225px; height: 150px; margin-left: 5px; margin-right: 5px; float: left;"" />Southeast Asian organisations find it most challenging to re-inculcate their HR departments with the necessary skills required in today&rsquo;s workforce.<br />

<br />

This was the biggest readiness gap identified in Southeast Asia, according to the <em>Global Human Capital Trends 2014-SEA Report</em> by Deloitte.<br />

<br />

While 75% stated it is important to reskill the HR function, only 30% are actually ready to do so, resulting in a 45% gap.<br />

<br />

&ldquo;This is reflective of the changing expectations that businesses have of their HR functions,&rdquo; said Nicky Wakefield, Southeast Asia Human Capital Leader at Deloitte Consulting.<br />

<br />

&ldquo;HR teams need to move away from their historical role of being mainly operational.&rdquo;<br />

<br />

A Mateen, Vice President, HR, Singapore / South East Asia &amp; South Asia, DHL Express, believes that the pressing need for reskilling the HR function could be due to the fact that professionals are not immersing themselves enough in partnering with the business.<br />

<br />

&ldquo;Whether HR people are engaged in business partnering with the organisation and supporting the business functions is a reason as to why companies see the need to reskill their HR departments,&rdquo; said Mateen in a phone interview with <em>HRM Asia</em>.<br />

<br />

&ldquo;Many of these companies could be focusing on a narrower scope function and not integrating enough with the business.&rdquo;<br />

<br />

Wakefield explained that today&rsquo;s business climate needs HR strategies and operations to be in tandem and align with business goals, and that today&rsquo;s HR professionals should comprehend new practices, technologies, workforce changes along with the variances in culture, language and regulations in order to add value.<br />

<br />

On the global perspective, there was a 23% gap when it comes to reskilling the HR function.<br />

<br />

Another top worry among companies in Southeast Asia is in the aspect of building workforce capability.<br />

<br />

In total, 74% of Southeast Asian respondents cited it as an obstacle over the next 12 to 18 months, culminating in it being the top human capital challenge for the region.<br />

<br />

&ldquo;Industries in the region are undergoing rapid technological, demographic and regulatory changes, and organisations now have to change their game from one of simply finding and building skills to one of deep specialisation,&rdquo; said Wakefield.<br />

<br />

Mateen also concurred with Wakefield.<br />

<br />

&ldquo;We live in an ever-changing world and we have got to adapt and keep the workforce up-to-date and relevant as the business grows,&rdquo; he added.<br />

<br />

In terms of retention and engagement, 75% of Southeast Asian firms concurred of its importance, but only 45% are ready to tackle this aspect.<br />

<br />

For global HR and talent management and talent and HR analytics respectively, gaps of 31% and 40% were cited from a Southeast Asian perspective.<br />

<br />

Southeast Asian nations also identified five top human capital challenges.<br />

<br />

The chief obstacle was workforce capability (74%), followed by leadership (72%), retention and engagement (65%), learning and development (50%) and reskilling the HR function (45%).<br />

<br />

The report also showed that HR and talent programmes in Southeast Asia were awarded a C-minus for overall performance and this ranking is aligned with the overall global score.<br />

<br />

Only two percent of Southeast Asian organisations listed their HR and talent programmes report card as excellent, while 33% ranked it as good, 31% cited it as adequate, 20% listed as getting by and 13% claimed they were underperforming.<br />

<br />

In terms of HR investments in the next 12 to 18 months, 17% of Southeast Asian firms plan to significantly increase their investment (more than five percent), 44% aim to increase (one to five percent) while 33% plan to remain the same.<br />

<br />

Leadership also remains the number one talent issue confronting organisations globally and in the Southeast Asia region, with 74% and 76% of global and Southeast<br />

Asia respondents respectively acknowledging that it is of chief importance in their companies.<br />

<br />

Below half (38%) of the respondents in Southeast Asia believe they are high in readiness in terms of the leadership roles within their organisations, implying a 38% gap between importance and readiness, nearly similar to the global gap of 34%.<br />

<br />

The<em> Deloitte Global Human Capital Trends 2014 Report</em> featured the views of over 2,500 business and HR leaders in 90 countries worldwide.","2014-09-11 00:00:00",581,HRM,1,,1,581
191939,"Bonding with colleagues takes priority over pay",,"2014-09-22 00:00:00","2114-09-15 00:00:00",/files/image/HRM/HRM%20148/24488192_xxl(1).jpg,"Canadian employees appreciate relationships and instinct when it comes to the aspect of managing their careers, a survey has revealed.","<img alt="""" src=""/files/image/HRM/HRM%20148/24488192_xxl(1).jpg"" style=""width: 138px; height: 92px; margin-left: 5px; margin-right: 5px; float: left;"" />Unlike the majority of workers who would not hesitate to jump ship if they found the working environment to be poor, Canadian workers are certainly a unique bunch.<br />

<br />

According to a recent Randstad Canada&#39;s <em>career management and personal branding survey,</em> close to half of Canadians (43%) said they would remain in a job that left them discontented if they were surrounded by a great team.<br />

<br />

When it comes to the aspect of managing their careers and being pleased at work, today&rsquo;s workers place a substantial amount of prominence on their personal network and working relationships.<br />

<br />

Possessing a good working relationship with co-workers even usurp good wages and benefits when it comes to assessing what makes a job enjoyable.<br />

<br />

To the question What makes you enjoy a job the most?, respondents cite great colleagues (52%) as the most crucial aspect, followed by trustworthy leadership (51%) and good pay and benefits (51%).<br />

<br />

Canadians are least enticed to the prospect of being in control, with only 32% claiming it was important.<br />

<br />

When describing career success, Canadians list doing what they love (45%) at the top of workplace success and rank making a specific wage at the very bottom of the list; 51% of respondents do not even deem wages as a success factor.<br />

<br />

The survey also show that 60% of Canadians have a firm idea about their career ambitions but are willing to source for different openings, while only 20% claim they possess clear goals and abide by it.<br />

<br />

According to Tom Turpin, President, Randstad Canada, the results highlights the distinct motivations and aspirations of today&rsquo;s job searches and workers.<br />

<br />

&quot;Today&#39;s Canadian workers are very connected, informed, mobile and flexible&#39;&#39;, said Turpin.<br />

<br />

&quot;The results seem to show that pursuing a leadership role or reaching a specific salary figure are not the main driving forces behind Canadians&#39; motivation at work.&rdquo;<br />

<br />

Turpin added that firms who want to entice and keep the best talent must pay a lot of emphasis to their internal communication schemes, team dynamics, and training and career development programmes, to keep their employees determined and passionate about what they do.<br />

<br />

Other highlights from the survey showed:

<ul>

	<li>28% respondents claim that they are inspired by innovative thinkers, and only eight percent say they are inspired by well-known, corporate CEOs</li>

	<li>Nearly 46% respondents say they never or almost never utilise a mentor to help them defining their professional goals, whereas less than a third indicating that they use a mentor</li>

	<li>When it comes to marketing themselves professionally, the majority of respondents (64%) claim they always or almost always rely on regular contacts with friends and colleagues, and 46% said they never or almost never use networking and events</li>

	<li>42% respondents say they do not use social media for professional purposes, but only for personal purposes</li>

	<li>Respondents feel that experience has a greater impact (39%) than education (13%) on their short and long-term career prospects</li>

</ul>

Randstad Canada&#39;s<em> career management and personal branding survey</em> amassed the views of more than 500 respondents.","2014-09-12 00:00:00",581,HRM,1,,1,581
191994,"US employees prefer to sit tight",,"2014-09-22 00:00:00","2114-09-16 00:00:00",/files/image/HRM/HRM%20148/6972021_xxl(1).jpg,"Leadership roles are not fancied by US employees.","<img alt="""" src=""/files/image/HRM/HRM%20148/6972021_xxl(1).jpg"" style=""width: 138px; height: 92px; margin-left: 5px; margin-right: 5px; float: left;"" />Contrary to popular notion, not all workers aspire to rise up the corporate ladder to become leaders.<br />

<br />

Just ask American workers.<br />

<br />

According to a new <em>CareerBuilder</em> survey, only about one third (34%) of employees aim desire leadership posts, with only seven percent targeting senior or C-level management roles.<br />

<br />

By an 11 percentage point margin, men (40%) are more prone than women (29%) to aspire for a leadership position.<br />

<br />

In fact, African Americans (39%) and LGBT (Lesbian, Gay, Bisexual, Transgender) (44%) are more likely to covet for leadership posts than the national average.<br />

<br />

In addition, 32% of employees with disabilities aim for leadership positions, as well as 35% of Hispanics, both close to the national average.<br />

<br />

But why are employees keen to stay put in their current roles?<br />

<br />

A majority (52%) claimed they are simply contented in their present positions and a third (34%) do not want to sacrifice work-life balance.<br />

<br />

Education also emerged as a factor, with 17% claiming they do not have the required qualifications.<br />

&nbsp;<br />

One in five workers (20%) also believe that his or her company has a glass ceiling, an invisible obstacle stopping women and minorities from attaining higher lob levels.<br />

<br />

However, when viewing only employees who desire for management and senior management roles, the percentage rise to 24% and is even steeper among females (33%),<br />

Hispanics (34%), African Americans (50%) and workers with disabilities (59%).<br />

<br />

The notion of a glass ceiling is not as prevalent among LGBT employees aiming for leadership positions; 21% believe there is an obstacle to leadership at their company, slightly below the national average.<br />

<br />

In fact, only nine percent of non-diverse males believe there is a glass ceiling for women and minorities at their firm.<br />

<br />

Some organisations chose to deal with this issue directly, with 27% of employers&nbsp; having schemes to complement females chasing for leadership posts and 26% having initiatives to support minorities.<br />

<br />

In addition, 13% of workers at these firms think a glass ceiling exists.<br />

<br />

&ldquo;While most workers don&rsquo;t want a top job, it is important for organisational leaders to promote a culture of meritocracy in which all workers, regardless of gender, race or sexual orientation, are able to reach senior-level roles based on their skills and past contributions alone,&rdquo; said Rosemary Haefner, vice president of human resources at<br />

CareerBuilder.<br />

<br />

&ldquo;The survey found that employees at companies that have initiatives to support aspiring female and minority leaders are far less likely to say a glass ceiling holds individuals back.&rdquo;<br />

<br />

The survey was conducted online within the US &nbsp;by Harris Poll on behalf of <em>CareerBuilder</em> among 3,625 workers ages 18 and over between May and June.<br />

<br />

The poll consisted of employees in government and the private sector across salary levels, industries, and company sizes.","2014-09-15 00:00:00",581,HRM,1,,1,581
191996,"HRM Asia Readers' Choice survey winners announced",,"2014-09-15 00:00:00","2114-09-15 00:00:00",/files/image/HRM/HRM%20148/logo_readerschoice.jpg,"Who are the final winners of HRM Asia’s Readers' Choice survey?","<img alt="""" src=""/files/image/HRM/HRM%20148/logo_readerschoice.jpg"" style=""width: 150px; height: 150px; margin-left: 5px; margin-right: 5px; float: left;"" />HRM Asia readers, you have spoken.<br />

&nbsp;<br />

The Readers&#39; Choice survey was launched to allow you, our esteemed readers, to vote for which Corporate Service Providers comes out top in your opinion. The response was overwhelming and we thank you for taking the time to complete this fun survey.<br />

&nbsp;<br />

Nominations of the Readers&#39; Choice survey were made and HRM Asia is proud to unveil the winners.<br />

&nbsp;<br />

Drum rolls please!<br />

&nbsp;<br />

Best Corporate Caterer: Orange Clove Catering<br />

&nbsp;<br />

Best Corporate Hotel: Singapore Marriott Hotel<br />

&nbsp;<br />

Best Luxury Corporate Cruise Liner: Silversea Cruises<br />

&nbsp;<br />

Most Unique MICE Venue in Asia: Bukit Gambang Resort City<br />

&nbsp;<br />

Best Corporate Healthcare: Raffles Medical Group<br />

&nbsp;<br />

HRM Asia would like to congratulate all the winners of the HRM Asia Readers&#39; Choice survey!","2014-09-15 00:00:00",581,HRM,1,,1,581
192002,"India leading the pack in using technology for HR",,"2014-09-16 00:00:00","2114-09-16 00:00:00",/files/image/HRM/HRM%20148/8448454_xxl.jpg,"India reported to be far ahead of the rest of the world in adopting mobile technology to deliver HR.","<img alt="""" src=""/files/image/HRM/HRM%20148/8448454_xxl.jpg"" style=""width: 225px; height: 150px; margin-left: 5px; margin-right: 5px; float: left;"" />More than one in every three organisations are implementing or planning to implement a new HR Management System, according to the latest findings of a survey by Towers Watson<em>.</em><br />

<br />

A notable 85% of organisations in India have or will have a HR portal and 78% report it as being an effective way of meeting intended objectives, according to the <em>2014 HR Service Delivery and Technology Survey.</em><br />

&nbsp;<br />

The survey also indicated an increasing mobile usage in HR transactions such as training, employee directory and time and attendance, with 44% of organisations in India reported to be using or considering using mobile technology, which is higher than their APAC counterparts (36%).<br />

<br />

However, there is room to improve as organisations utilise mobiles for less than 25% of HR transactions.<br />

&nbsp;<br />

India is a fast-growing market and witnessing a faster rate of adoption of technology, said David Mitchell, APAC regional practice leader, HR technology, Towers Watson.<br />

<br />

&quot;India headquartered companies are more free to be innovative than global companies that already have established systems in place,&quot; explained Mitchell.<br />

<br />

Moreover, Mitchell added there is a relatively robust adoption of cloud- based technologies with close to 83% contemplating the use of cloud, a rate of adoption which is much faster than in the US.<br />

<br />

Moving ahead, Mitchell added that companies in India will focus more on talent management and that there will be personalisation of talent management system to very agile cloud-based applications or gaming apps.<br />

<br />

He said that companies are adopting gamification for performance management.<br />

<br />

However, the survey showed that many important HR processes in India, particularly talent management related procedures, are still manual/paper based, leaving space for more technology leverage in these key processes.<br />

<br />

The survey covered 55 organisations in India companies and global MNCs.&nbsp; In total, 523 organisations across 12 APAC countries participated in the survey.","2014-09-15 00:00:00",581,HRM,1,,1,581
192031,"Upsurge in wages and employment for Singaporeans",,"2014-09-16 00:00:00","2114-09-16 00:00:00",/files/image/HRM/HRM%20148/13260003_xl.jpg,"The tight labour sector has resulted in increased salaries and employment prospects for locals.","<img alt="""" src=""/files/image/HRM/HRM%20148/13260003_xl.jpg"" style=""width: 243px; height: 150px; margin-left: 5px; margin-right: 5px; float: left;"" />The labour crunch in Singapore has seen an upsurge in salaries and employment for citizens while foreign employment growth slipped to its weakest level since late 2009.<br />

&nbsp;<br />

According to latest data from the <em>Labour Market Second Quarter 2014 </em>report by the Ministry of Manpower (MOM), retrenchments dropped while job vacancies also reached a record high.<br />

&nbsp;<br />

The citizen unemployment proportion dropped to 2.9% in June 2014, while the resident long-term unemployment stayed among the lowest globally at 0.6%.<br />

&nbsp;<br />

Hiring of locals also remained robust, with the 4.2% year-on-year growth in local employment in June 2014 (41,000 in 1H 2014) complemented by the ongoing steady rise in labour force participation of women and older residents.<br />

&nbsp;<br />

The real median gross monthly income of fully employed citizens rose by 4.6% last year, according to the ministry.<br />

&nbsp;<br />

However, foreign employment growth continued to ease in the first half of 2014, leading to the moderation of total employment growth.<br />

&nbsp;<br />

Foreign employment growth in the second quarter of 2014 (3,800) was the lowest since the third quarter of 2009 (700), contributing to lower year-on-year total employment growth of 3.8% in June 2014 (52,200 in 1H 2014, excluding Foreign Domestic Workers).<br />

<br />

Even though the figures are promising, the ministry cautioned of further firm closures as the economy continues to restructure.<br />

&nbsp;<br />

&ldquo;The key to firms coping with tighter labour market conditions and sustaining higher wages is through productivity growth,&rdquo; the report said.<br />

<br />

Irvin Seah, an economist with DBS, said companies are incurring higher labour costs due to the labour market crunch.<br />

&nbsp;<br />

&ldquo;With the tight labour market, many firms are now having higher labour costs and this is leading to narrower profit margins,&rdquo; said Seah in a phone interview with <em>HRM Asia</em>.<br />

&nbsp;<br />

With foreign employment growth dropping to its lowest level since 2009, Seah said many companies, particularly Small and Medium Enterprises (SMEs), have no choice but to undergo restructuring.<br />

&nbsp;<br />

&ldquo;SMEs know fully well since 2010, when the Government announced the decision to ease the rate of cheap and unskilled foreign labour employment, that they will have to embark on restructuring,&rdquo; explained Seah.<br />

&nbsp;<br />

&ldquo;They can now expect to relocate their operations or restructure.&quot;","2014-09-16 00:00:00",581,HRM,1,,1,581
192036,"Wealthy Singaporeans looking to jump ship",,"2014-09-16 00:00:00","2114-09-16 00:00:00",/files/image/HRM/HRM%20148/13181452_xxl.jpg,"A new survey has revealed that 23% of Singaporeans who are of high net worth are looking to make the move abroad in the next five years.","<img alt="""" src=""/files/image/HRM/HRM%20148/13181452_xxl.jpg"" style=""width: 225px; height: 150px; margin-left: 5px; margin-right: 5px; float: left;"" />High-net-worth Singaporean individuals (HNWIs) are aiming to depart the country in half a decade for enhanced career and business prospects.<br />

<br />

The survey <em>Wealth Insights The Rise of the Global Citizen</em> conducted by Barclays suggests that the prospect of securing and growing assets is one of the factors for high-net-worth individuals (HNWIs) to leave.&nbsp;<br />

&nbsp;<br />

Among the top reasons for high-net-worth individuals leaving the country include wanting to pursue an international career and looking for economic opportunity.<br />

<br />

China tops the list of destinations for HNWIs to move to. This is followed by the US and Canada.<br />

&nbsp;<br />

With Singapore&rsquo;s economy undergoing restructuring and growing business opportunities in China,<br />

&nbsp;<br />

However, while Singaporeans are looking to move out, the country remains an attractive spot for foreign HNWIs looking to do business here.<br />

<br />

More than 40 % of those surveyed cited &ldquo;political and economic security&rdquo; as the main reasons for living in Singapore.&rdquo;<br />

&nbsp;<br />

Elsewhere in Japan, clients are also attracted to Singapore because of its pro-business environment while those from India and Bangladesh believe that Singapore is a good place to invest, especially in property.<br />

&nbsp;<br />

The Barclays survey was conducted with 2,000 respondents across the world, with 100 of them based in Singapore.<br />

<br />

Those defined as a HNWI in the survey come with a net worth of more than &pound;1 million (S$2.05 million).","2014-09-16 00:00:00",581,HRM,1,,1,581
192043,"Is Singapore's work environment female-friendly enough?",,"2014-09-17 00:00:00","2114-09-17 00:00:00",/files/image/HRM/HRM%20148/15474347_xxl.jpg,"The majority of finance professionals surveyed see Singapore as an ideal place for females to work in.","<img alt="""" src=""/files/image/HRM/HRM%20148/15474347_xxl.jpg"" style=""width: 225px; height: 150px; margin-left: 5px; margin-right: 5px; float: left;"" />Singapore has been ranked as one of the most attractive environments for female finance executives to be employed in.<br />

<br />

Singapore received the most positive response globally when asked if they would recommend their company to a female friend according to the <em>eFinancialCareers </em>Diversity Survey conducted by eFinancialCareers.<br />

<br />

An overwhelming 87% of finance professionals said yes here, with Australia (83%) the UK and US (82%) close behind. The lowest responses came from professionals working in the Middle East (66%).<br />

<br />

&ldquo;We are seeing many of the local and international financial services institutions here developing gender diversity initiatives. Flexible working hours, childcare benefits and mentoring programs are among the most popular. They are proven ways to improve the gender balance and they also help attract top female talent,&rdquo; said George McFerran, Sales and Marketing Director at eFinancialCareers.<br />

<br />

While Singapore appears to be making positive strides when it comes to creating a female friendly environment, the survey also showed that more needs to be done in terms of equal representation and compensation of woman at senior levels.<br />

<br />

The survey revealed that while 89% of financial services professionals believe that women are equally represented at junior levels, only two-thirds (66%) of those surveyed believe that women are fairly represented at senior positions.<br />

&nbsp;<br />

&ldquo;Getting more women into senior positions is a priority for many financial services companies, and while many are spending a great deal of time and effort on this there is no quick solution. Another crucial step will be addressing the perception of unequal pay, it is damaging both&nbsp;for the industry and the people in it,&rdquo; added McFerran.<br />

<br />

Over two-thirds (68%) of the women polled believe that &lsquo;men are paid more than women in equivalent positions&rsquo;. &nbsp;When asked the same question, only 29% of men think &lsquo;they are paid more than woman in equivalent positions in financial services&rsquo;.<br />

<br />

Of those who believe that men are paid more than woman in equivalent positions in the financial industry, most respondents (44%) perceive there to be a 11 to 20% gap while just over a third evaluate the gap to be at 21% to 30%.<br />

<br />

Finance professionals have split views when it comes to the situation of the pay gap improving here with the majority believing that it will narrow in the future.<br />

<br />

The survey was conducted between July and August 2014 where eFinancialCareers polled nearly 5,000 finance professionals across the globe, of which 1,244 are based and work in Singapore.","2014-09-16 00:00:00",581,HRM,1,,1,581
192046,"Employers peeved by social media antics of candidates",,"2014-09-18 00:00:00","2114-09-18 00:00:00",/files/image/HRM/HRM%20148/24011557_xxl.jpg,"Prospective Indian job seekers should perhaps be more careful about what they post on social media.","<img alt="""" src=""/files/image/HRM/HRM%20148/24011557_xxl.jpg"" style=""width: 225px; height: 150px; margin-left: 5px; margin-right: 5px; float: left;"" />If you are sourcing for employment in India, it may be wise of you to scrutinise your social media account.<br />

<br />

A survey conducted by job site <em>CareerBuilder India</em> revealed that nearly 68% of employers have decided against hiring a potential employee after finding negative details about them on social media.<br />

<br />

The survey revealed that as many as 59% of employers are currently using social media to do their research on job candidates while good 33 % are also planning to access the platform soon.<br />

<br />

Common reasons for turning down a job aspirant were that job candidates were found to be lying about their qualifications (50 %), had poor communications skills (50%) and posted provocative or inappropriate photographs or information (47%).<br />

<br />

Other reasons also included drinking or drug habits (38%) and being linked to criminal behaviour (35%).<br />

<br />

&quot;It&#39;s vital for job seekers to remember that much of what they post to the Internet - and equally importantly, what others post about them - can be found by prospective employers, and that can affect their chances of getting hired down the road, &ldquo; said Rosemary Haefner Vice President of CareerBuilder Human Resources.<br />

<br />

She added that it was important for jobseekers to stay vigilant and pay attention to privacy updates on social networking accounts.<br />

<br />

Meanwhile, social media is also seen as &nbsp;a useful platform for employers to hire candidates with employers who were surveyed revealing that they are likely to hire someone if the individual&rsquo;s background supported their personal qualifications and if their personality was a good fit for the company&rsquo;s culture.<br />

<br />

The findings of the survey are based on responses by top 1,200 corporates in India.","2014-09-16 00:00:00",581,HRM,1,,1,581
