idx,title,issue,issue_date,expiry_date,strap,summary,body,updated_date,type,sitecode,published,author,commentboard,tid
37931,8 Enemies of Engagement,,10/20/2009 0:00,10/10/2114 0:00,http://hrmfpvauuikcj.devcloud.acquia-sites.com/HRM-images/HRM/kevin_panozza_cover.jpg,"Kevin Panozza, Founder of Salesforce brings us up close and personal with the 8 enemies of employee engagement","<iframe allowfullscreen="""" frameborder=""0"" height=""225"" mozallowfullscreen="""" src=""//player.vimeo.com/video/99210840?title=0&amp;byline=0&amp;portrait=0&amp;color=be1e2d&amp;autoplay=1"" webkitallowfullscreen="""" width=""300""></iframe>",10/20/2009 0:00,780,HRM,1,,0,780
37934,Gen Y - Internationalism & Internships,,10/13/2009 0:00,10/11/2114 0:00,http://hrmfpvauuikcj.devcloud.acquia-sites.com/HRM-images/HRM/pedro_aguirre_cover.jpg,"Microsoft Asia Pacific's Student to Business Specialist, Pedro Aguirre, shows us why internationalism and internships are the way towards success for Gen-Y workers","<iframe allowfullscreen="""" frameborder=""0"" height=""225"" mozallowfullscreen="""" src=""//player.vimeo.com/video/99209690?title=0&amp;byline=0&amp;portrait=0&amp;color=be1e2d&amp;autoplay=1"" webkitallowfullscreen="""" width=""300""></iframe>",10/20/2009 0:00,780,HRM,1,,0,780
37936,Employer Branding - Electronic Arts Style,,10/27/2009 0:00,10/20/2114 0:00,http://hrmfpvauuikcj.devcloud.acquia-sites.com/HRM-images/HRM/mala_singh_coverrevised.jpg,"Electronic Arts Senior Director of HR, Mala Singh, on how excellent employer branding has attracted some seriously high quality talent","<iframe allowfullscreen="""" frameborder=""0"" height=""225"" mozallowfullscreen="""" src=""//player.vimeo.com/video/99122968?title=0&amp;byline=0&amp;portrait=0&amp;color=be1e2d&amp;autoplay=1"" webkitallowfullscreen="""" width=""300""></iframe>",10/20/2009 0:00,780,HRM,1,,0,780
37937,Ken Blanchard - Leadership in Asia,,11/3/2009 0:00,10/20/2114 0:00,http://hrmfpvauuikcj.devcloud.acquia-sites.com/HRM-images/HRM/ken_blanchard_cover.jpg,"Ken Blanchard, Co-founder, The Ken Blanchard Companies describes how servant leadership can bring your organisation to greater heights","<iframe allowfullscreen="""" frameborder=""0"" height=""225"" mozallowfullscreen="""" src=""//player.vimeo.com/video/99304988?title=0&amp;byline=0&amp;portrait=0&amp;color=be1e2d&amp;autoplay=1"" webkitallowfullscreen="""" width=""300""></iframe>",10/20/2009 0:00,780,HRM,1,,0,780
38610,Recruiting & Retaining Gen Y,,11/16/2009 0:00,11/16/2114 0:00,/files/Image/legalbusinessonline/Jarrod_Ng_Cover.jpg,"Jarrod Ng, Human Capital Director, WongPartnership, redefines Gen Y, the future workforce and provides tips to develop and manage them effectively","<iframe allowfullscreen="""" frameborder=""0"" height=""225"" mozallowfullscreen="""" src=""//player.vimeo.com/video/99312111?title=0&amp;byline=0&amp;portrait=0&amp;color=be1e2d&amp;autoplay=1"" webkitallowfullscreen="""" width=""300""></iframe>",11/16/2009 0:00,780,HRM,1,,0,780
38819,Training Generation Y,,11/24/2009 0:00,11/24/2114 0:00,http://hrmfpvauuikcj.devcloud.acquia-sites.com/HRM-images/HRM/sam_mitra_cover.jpg,"Sam Mitra, Senior Manager, Wholesale Bank Learning and Talent Development, Standard Chartered Bank, explains some key strategies for training the latest generation of workers","<iframe allowfullscreen="""" frameborder=""0"" height=""225"" mozallowfullscreen="""" src=""//player.vimeo.com/video/99313809?title=0&amp;byline=0&amp;portrait=0&amp;color=be1e2d&amp;autoplay=1"" webkitallowfullscreen="""" width=""300""></iframe>",11/24/2009 0:00,780,HRM,1,,0,780
38821,DHL on salaries,,3/2/2010 0:00,11/24/2114 0:00,http://hrmfpvauuikcj.devcloud.acquia-sites.com/HRM-images/HRM/jeremy_caird_cover.jpg,"Jeremy Caird, Vice President for Rewards and Remuneration, DHL Express, explains the logistics giant's wage-setting programmes and its reactions to the economic downturn","<iframe allowfullscreen="""" frameborder=""0"" height=""220"" mozallowfullscreen="""" src=""//player.vimeo.com/video/104283554?title=0&amp;byline=0&amp;portrait=0&amp;color=be1e2d&amp;autoplay=1"" webkitallowfullscreen="""" width=""300""></iframe>",11/24/2009 0:00,780,HRM,1,,0,780
38850,Branding Talent,,12/1/2009 0:00,12/31/2114 0:00,http://hrmfpvauuikcj.devcloud.acquia-sites.com/HRM-images/HRM/su_olivier_cover.jpg,"How do strong employer brands attract top quality recruits?  
Sue Olivier, Director, Talent & Development, Ogilvy & Mather shares her insights","<iframe allowfullscreen="""" frameborder=""0"" height=""225"" mozallowfullscreen="""" src=""//player.vimeo.com/video/99617432?title=0&amp;byline=0&amp;portrait=0&amp;color=be1e2d&amp;autoplay=1"" webkitallowfullscreen="""" width=""300""></iframe>",11/25/2009 0:00,780,HRM,1,,0,780
39096,Learning from the crisis,,12/8/2009 0:00,12/4/2114 0:00,http://hrmfpvauuikcj.devcloud.acquia-sites.com/HRM-images/HRM/dave_ulrich_cover.jpg,"Dave Ulrich, one of the world's best known experts and advocates for HR, explains how HR can best take advantage of the economic recovery phase, in both Asia and the West","<iframe allowfullscreen="""" frameborder=""0"" height=""225"" mozallowfullscreen="""" src=""//player.vimeo.com/video/99618538?title=0&amp;byline=0&amp;portrait=0&amp;color=be1e2d&amp;autoplay=1"" webkitallowfullscreen="""" width=""300""></iframe>",12/4/2009 0:00,780,HRM,1,,0,780
39242,The service behind the brand,,12/15/2009 0:00,12/11/2114 0:00,/files/Image/joseph_michelli1.jpg,"Joseph Michelli, an international author, speaker and business consultant, goes behind the brands of Starbucks and Ritz Carlton to share what really makes their customer service excel","<iframe allowfullscreen="""" frameborder=""0"" height=""225"" mozallowfullscreen="""" src=""//player.vimeo.com/video/100469418?title=0&amp;byline=0&amp;portrait=0&amp;color=be1e2d&amp;autoplay=1"" webkitallowfullscreen="""" width=""307""></iframe>",12/11/2009 0:00,780,HRM,1,,0,780
